rating_id,user_id,movie_id,rating,review_date
1,2296,27155,4.5,2025-11-09 19:47:41
2,2987,65585,4.5,2025-01-17 16:33:33
3,1735,4883,3.5,2024-12-01 15:19:20
4,3837,22,4.5,2025-12-06 08:57:36
5,1356,168174,5.0,2025-04-14 04:07:03
6,4780,81087,5.0,2024-12-17 00:00:29
7,1725,4039,4.5,2026-04-20 14:11:26
8,2148,47516,4.5,2025-04-28 19:01:45
9,2034,96691,3.5,2024-06-13 01:31:16
10,2276,4727,4.5,2025-05-18 14:59:09
11,1749,3576,3.5,2026-04-29 08:44:47
12,1892,1974,4.5,2025-03-29 14:53:31
13,169,69,1.0,2025-08-05 17:16:53
14,3075,3729,5.0,2026-06-17 00:04:31
15,4290,8426,4.0,2025-07-30 23:38:12
16,3625,140541,5.0,2023-12-26 08:46:16
17,1729,66090,4.5,2024-12-06 17:06:09
18,880,1237,3.5,2025-04-12 06:12:54
19,3029,6718,5.0,2025-01-27 14:49:27
20,253,81535,5.0,2024-02-09 19:30:17
21,3181,69118,5.0,2025-07-23 10:52:48
22,2525,6014,4.0,2025-07-07 01:45:53
23,2004,1713,3.0,2025-04-27 10:57:00
24,2366,55290,3.0,2025-11-13 13:34:06
25,3666,6868,4.0,2025-04-06 00:08:45
26,3516,7118,5.0,2024-10-14 15:52:05
27,1135,62336,3.5,2025-07-14 07:07:39
28,4338,4036,3.0,2024-03-02 04:34:59
29,615,82088,3.0,2024-01-22 12:34:48
30,3248,56022,3.0,2024-08-06 22:58:14
31,3430,1922,1.5,2024-10-27 11:04:32
32,2,3925,4.5,2023-07-13 05:21:28
33,4429,38061,5.0,2023-10-02 12:00:51
34,1667,7149,4.5,2025-01-24 18:11:06
35,4873,3299,5.0,2025-07-22 18:58:26
36,3273,48214,5.0,2026-05-04 03:01:54
37,1282,70183,3.0,2025-09-06 08:57:45
38,1422,4388,4.5,2025-04-16 17:15:01
39,1769,91355,5.0,2026-06-02 04:14:48
40,1199,54372,5.0,2024-02-16 12:48:15
41,77,57637,3.0,2026-06-19 16:16:05
42,4792,174909,1.0,2025-04-19 00:27:03
43,1927,45186,2.5,2026-01-16 23:47:23
44,1408,6604,5.0,2023-07-26 19:43:59
45,949,7158,5.0,2025-01-24 00:16:44
46,1962,27,5.0,2024-04-02 03:14:43
47,906,6238,3.0,2024-08-02 15:54:48
48,4037,52287,4.0,2024-02-29 13:18:26
49,3919,49130,4.0,2023-09-22 13:53:17
50,2549,105254,5.0,2026-04-07 11:03:50
51,128,7614,4.0,2024-02-09 22:36:15
52,4056,5246,2.5,2026-01-24 08:14:27
53,981,164,5.0,2024-01-19 01:10:32
54,1053,33660,3.0,2025-04-12 04:50:01
55,741,7976,5.0,2025-08-02 03:43:08
56,3577,4489,5.0,2025-12-03 20:17:09
